机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
国泰君安,czh,100,38.23,1910/6/24,42573,股票/股票雷达跟投/603959百利科技
蚂蚁聚宝,czh,8130,1.195498455,1926/8/18,42536,基金/可转债/519977长信可转债债券A
国泰君安,czh,1600,9.65,1942/5/2,42584,股票/股票雷达跟投/600130波导股份
国泰君安,czh,1500,9.43,1938/10/13,42584,股票/股票雷达跟投/600130波导股份
国泰君安,czh,2300,8.25,1952/1/10,42584,股票/股票雷达跟投/002495佳隆股份
国泰君安,czh,500,26.84,1936/10/17,42586,股票/股票雷达跟投/300444双杰电气
国泰君安,czh,700,14.38,1927/8/7,42586,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,500,14.38,1919/9/17,42586,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,1500,14.48,1959/7/21,42586,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,100,21.23,1905/10/28,42571,股票/股票雷达跟投/002276万马股份
国泰君安,czh,1000,1.469,1904/1/8,42174,基金/长期/513100纳指EFT
国泰君安,czh,1000,1.39,1903/10/21,42195,基金/长期/513100纳指EFT
国泰君安,czh,700,1.497,1902/11/12,42226,基金/长期/513100纳指EFT
国泰君安,czh,200,1.467,1900/10/19,42261,基金/长期/513100纳指EFT
国泰君安,czh,500,1.48,1902/1/9,42293,基金/长期/513100纳指EFT
国泰君安,czh,100,1.565,1900/6/4,42318,基金/长期/513100纳指EFT
国泰君安,czh,400,1.521,1901/8/30,42380,基金/长期/513100纳指EFT
国泰君安,czh,800,1.515,1903/4/26,42446,基金/长期/513100纳指EFT
国泰君安,czh,700,1.551,1902/12/20,42478,基金/长期/513100纳指EFT
国泰君安,czh,500,1.517,1902/1/27,42507,基金/长期/513100纳指EFT
国泰君安,czh,1200,1.548,1905/1/30,42541,基金/长期/513100纳指EFT
国泰君安,czh,900,1.617,1903/12/30,42569,基金/长期/513100纳指EFT
国泰君安,czh,800,1.166,1902/7/20,42137,基金/长期/513500标普500
国泰君安,czh,900,1.157,1902/11/6,42165,基金/长期/513500标普500
国泰君安,czh,1000,1.133,1903/2/6,42195,基金/长期/513500标普500
国泰君安,czh,1100,1.168,1903/7/7,42226,基金/长期/513500标普500
国泰君安,czh,400,1.172,1901/4/12,42293,基金/长期/513500标普500
国泰君安,czh,400,1.21,1901/4/28,42318,基金/长期/513500标普500
国泰君安,czh,500,1.177,1901/8/10,42380,基金/长期/513500标普500
国泰君安,czh,800,1.212,1902/8/26,42446,基金/长期/513500标普500
国泰君安,czh,900,1.231,1903/1/16,42478,基金/长期/513500标普500
